10, 25.1e-23
20, 3.43e-23
30, 1.75e-23
40, 1.39e-23
50, 1.22e-23
100, 1.03e-23
200, 1.44e-23
300, 2.13e-23
400, 2.94e-23
500, 3.71e-23
1000, 9.57e-23
