282.314869251706, 9.376223953405502e+23
355.92843369841944, 7.98174597821142e+23
635.2358655697512, 3.39991869450351e+24
1122.8311834035276, 1.252858713782404e+25
2003.9495897155552, 3.2921720043347418e+25
3542.14428255431, 6.904954786310643e+25
6321.768300219181, 1.3362081793357207e+26
11282.644424872704, 2.627728065517927e+26
20136.464858052073, 4.259617762560488e+26
35592.84336984198, 5.878016072274876e+26
62913.25255353957, 7.017038286703779e+26
112283.11834035286, 7.483863783090456e+26
202339.03041299555, 8.512750994297945e+26
