1000, 1.0835356518046828e+25
1257.2509293435437, 2.394811383034156e+25
1539.1581170003888, 3.6017408118681173e+25
1904.4465404543785, 4.361669721006915e+25
2869.481758217915, 8.96006441148672e+25
3907.5767280021932, 1.1379936958344996e+26
5209.103730747987, 1.4111200298749622e+26
6479.7864543081805, 1.7930735938014886e+26
8871.087820302739, 2.223114305483791e+26
12274.882428295516, 2.6266087080221743e+26
17350.274827375822, 3.3353354067398795e+26
23129.26594252546, 4.2365913552054235e+26
31496.761069816384, 5.2528178176576864e+26
41987.632493435776, 6.672205293592876e+26
59033.463747494134, 7.882549992541453e+26
100000, 9.303387599275672e+26

