10084.390045553453, 6.907727231514663e+26
17560.041883999154, 1.0128384179630246e+27
55998.34379030265, 3.6270770943240874e+27
100000, 5.814909182505618e+27
31755.928652069793, 1.8923798290928475e+27
178576.71000855105, 7.409793315402358e+27
314901.82855503546, 8.311273808216494e+27
562341.3251903491, 8.417977415171517e+27
1004210.6375434106, 7.504923339005182e+27
1909949.5587964235, 6.197888618396639e+27
3006783.717609951, 5.250753211239314e+27
5647091.4068640685, 4.3362979334927586e+27
11154375.37205053, 3.915595168309493e+27
15875591.92406391, 4.068349759739667e+27
17782794.100389227, 4.3919691387751747e+27
31358145.072569206, 5.184196331927605e+27
55998343.79030265, 5.318164575585941e+27
100000000, 4.505464915950798e+27
562341325.1903491, 2.2054149016488058e+27

